Disease,Steps
Fungal infection,abc
Allergy,abc
GERD,abc
Chronic cholestasis,abc
Drug Reaction,abc
Peptic ulcer diseae,abc
AIDS,abc
Diabetes ,abc
Gastroenteritis,abc
Bronchial Asthma,abc
Hypertension ,abc
Migraine,abc
Cervical spondylosis,abc
Paralysis (brain hemorrhage),abc
Jaundice,abc
Malaria,abc
Chicken pox,abc
Dengue,abc
Typhoid,abc
hepatitis A,abc
Hepatitis B,abc
Hepatitis C,abc
Hepatitis D,abc
Hepatitis E,abc
Alcoholic hepatitis,abc
Tuberculosis,abc
Common Cold,abc
Pneumonia,abc
Dimorphic hemmorhoids(piles),abc
Heart attack,abc
Varicose veins,abc
Hypothyroidism,abc
Hyperthyroidism,abc
Hypoglycemia,abc
Osteoarthristis,abc
Arthritis,abc
(vertigo) Paroymsal  Positional Vertigo,abc
Acne,abc
Urinary tract infection,abc
Psoriasis,abc
Impetigo,abc
