Disease,Steps
Fungal infection,"Most fungal skin infections can be treated with over-the-counter or prescription creams. Severe infections may require additional methods. Anti - Fungal Medication: clotrimazole (Canesten), econazole, miconazole, terbinafine (Lamisil), fluconazole (Diflucan), ketoconazole (Daktarin), nystatin (Nystan), amphotericin"
Allergy,"Antihistamines have been used for years to treat allergy symptoms. They can be taken as pills, liquid, nasal spray, or eye drops. Cetirizine (Zyrtec), fexofenadine (Allegra), levocetirizine (Xyzal), and loratadine (Alavert, Claritin) are taken by mouth whereas Ketotifen (Zaditor) and naphazoline and pheniramine combination ophthalmic (OcuHist) are eye drops."
GERD,"Antacids, such as Mylanta, Rolaids and Tums, may provide quick relief. Over-the-counter proton pump inhibitors include lansoprazole (Prevacid 24 HR) and omeprazole (Prilosec OTC, Zegerid OTC)."
Chronic cholestasis,"Mild pruritus can often be managed by nonspecific measures such as emollients and warm baths and/or histamine 1-receptor blockers such as hydroxyzine and diphenhydramine due to their sedative properties. However, it would be a better option to consult a doctor for appropriately prescribed medication."
Drug Reaction,"Call 911 or emergency medical help if you experience signs of a severe reaction or suspected anaphylaxis after taking a medication. If you have milder symptoms of a drug allergy, see your doctor as soon as possible."
Peptic ulcer diseae,"These drugs include the prescription and over-the-counter medications omeprazole (Prilosec), lansoprazole (Prevacid), rabeprazole (Aciphex), esomeprazole (Nexium) and pantoprazole (Protonix)."
AIDS,"The treatment of HIV/AIDS with medicines is called antiretroviral therapy (ART). It is recommended for everyone who has HIV. The medicines do not cure HIV infection, but they do make it a manageable chronic condition. They also reduce the risk of spreading the virus to others."
Diabetes ,"If you're diagnosed with diabetes, your doctor or health care provider may do other tests to distinguish between type 1 and type 2 diabetes — since the two conditions often require different treatments."
Gastroenteritis,"In some cases, adults can take over-the-counter medicines such as loperamide (Imodium) and bismuth subsalicylate (Pepto-Bismol, Kaopectate) to treat diarrhea caused by viral gastroenteritis. If you have bloody diarrhea or fever—signs of infections with bacteria or parasites—don’t use over-the-counter medicines to treat diarrhea. See a doctor for treatment."
Bronchial Asthma,"Short-acting beta-agonists are the first choice for quick relief of asthma symptoms. They include albuterol (ProAir HFA, Proventil HFA, Ventolin HFA), epinephrine (Asthmanefrin, Primatene Mist), and levalbuterol (Xopenex HFA). Anticholinergics such as ipratropium (Atrovent) lessen mucus in addition to opening your airways. They take longer to work than short-acting beta-agonists. Oral corticosteroids such as methylprednisolone ands prednisone lower swelling in your airways. Combination quick-relief medicines have both an anticholinergic and a short-acting beta-agonist."
Hypertension ,"For most people, the first-choice medication for high blood pressure is a thiazide diuretic. For other people, a diuretic alone is not enough to control blood pressure. In these cases, a diuretic may be combined with a beta-blocker, ACE inhibitor, angiotensin II receptor blocker, or calcium channel blocker."
Migraine,"These over-the-counter or prescription pain relievers include aspirin or ibuprofen (Advil, Motrin IB, others). Migraine relief medications that combine caffeine, aspirin and acetaminophen (Excedrin Migraine) may be helpful, but usually only against mild migraine pain."
